itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
13833,BL81991,,13530,"Bean: The Ultimate Disaster Movie","Universal Pictures",2014-01-10
13834,BL80132,,13531,"The Portrait of A Lady",,2012-08-19
13835,BL80047,,13532,"The Remains Of The Day",,2011-03-14
13836,BL80114,,13533,Rebecca,,2013-02-06
13837,BL80099,,13534,"Great Expectations",,2013-02-06
13838,BL82739,,13534,"Great Expectations",,2014-01-18
13839,BL82200,,13535,"The Good Life(2 disc)","Davies John Howard",2013-12-27
13840,BL80017,,13536,"The English Patient",,2013-12-18
13841,BL80064,,13537,"The Angry Silence",,2013-02-06
13843,BL8002,,13539,Evita,1996,2013-12-18
13844,BL80082,,13540,Clockwise,,2013-01-20
13845,BL80084,,13540,Clockwise,,2013-02-05
13846,BL80154,,13541,Scum,,2013-02-06
13847,BL80457,,13542,"Rising Damp",,2013-02-06
13848,BL80110,,13543,"Doctor Who - Shearhead From Space",,2013-02-06
13849,BL80071,,13544,"Blow Dry",,2013-02-06
13850,BL80083,,13545,"One Million Years B.C",,2012-08-10
13851,BL80505,,13546,"Harry Potter And The Philosopher's Stone (Disc 1, Disc 2)",,2011-03-14
13852,BL81670,,13547,"The Planets- Disc 1, Disc 2","SAXE, MARK",2014-01-10
13853,BL80499,,13548,"Walking With The Beasts: The Complete Series, Disc 1, Disc 2",,2013-12-18
13855,BL80510,,13550,"The Lord Of The Rings: The Fellowship Of The Ring, Disc 1, Disc 2","OSBORNE, BARRIE M",2013-02-07
13856,BL80617,,13551,"Amadeus(Director's Cut). Disc A, Disc B","ZAENTZ, SAUL",2013-01-02
13857,BL80517,,13552,"The Camomile Lawn. Disc 1(157 mins), Disc 2(107 mins)","WILHIDE, GLENN",2013-02-07
13858,BL80023,,13553,"Edge Of Darkness. Disc 1, Disc 2",,2013-02-06
13859,BL80643,,13554,"Lee Evans-So What Now?, Series 1: Disc 1:Side A, Side B, Disc 2",,2013-02-07
13862,BL80592,,13558,"Norman Wisdom Double Bill: Disc 1- Trouble In Store(82 mins), Disc 2-Up In The World(87 mins)","COWAN, MUARICE",2013-02-05
13863,BL80600,,13558,"Norman Wisdom Double Bill: Disc 1- Trouble In Store(82 mins), Disc 2-Up In The World(87 mins)","COWAN, MUARICE",2013-02-07
13864,BL80595,,13559,"Norman Wisdom",,2013-12-18
13865,BL80631,,13559,"Norman Wisdom",,2013-12-18
13866,BL80594,,13560,"Norman Wisdom: double bill Disc 1-The Square Peg(86 mins), Disc 2-Follow A Star(90 mins)","STEWART, HUGH",2013-12-18
13867,BL80633,,13560,"Norman Wisdom: double bill Disc 1-The Square Peg(86 mins), Disc 2-Follow A Star(90 mins)","STEWART, HUGH",2013-02-07
13868,BL80596,,13561,"Norman Wisdom double bill: Disc 1-The Early Bird (94 mins), Disc 2- Press For Time(98 mins)","STEWART, HUGH",2013-02-07
13869,BL80598,,13561,"Norman Wisdom double bill: Disc 1-The Early Bird (94 mins), Disc 2- Press For Time(98 mins)","STEWART, HUGH",2013-02-07
13870,BL80630,,13561,"Norman Wisdom double bill: Disc 1-The Early Bird (94 mins), Disc 2- Press For Time(98 mins)","STEWART, HUGH",2013-12-18
13871,BL80593,,13562,"Norman Wisdom: double bill. Disc 1-The Bulldog Breed(94 mins), Disc 2-One Good Turn(89 mins)","STEWART, HUGH",2013-02-07
13872,BL80634,,13562,"Norman Wisdom: double bill. Disc 1-The Bulldog Breed(94 mins), Disc 2-One Good Turn(89 mins)","STEWART, HUGH",2013-02-06
13873,BL80632,,13563,"Norman Wisdom. Disc 1-Man Of The Moment(85 mins), Disc 2-On The Beat(101 mins)","STEWART, HUGH",2013-12-18
13874,BL82139,,13564,"Lawrence Of Arabia. Disc 1, Disc 2",,2012-08-09
13877,BL80465,,13566,"Space 1999- Vol 1","ANDERSON, SYLIVA",2013-02-06
13878,BL80466,,13567,"Space-1999, Vol 2","ANDERSON, SYLIVA",2013-02-06
13879,BL80467,,13568,"Space - 1999, Vol 3","ANDERSON, SYLIVA",2013-02-06
13880,BL80468,,13569,"Space - 1999, Vol 4","ANDERSON, SYLIVA",2012-09-14
13881,BL80469,,13570,"Space - 1999, Vol 5","ANDERSON, SYLIVA",2013-02-06
13882,BL80470,,13571,"Space - 1999, Vol 6","ANDERSON, SYLIVA",2013-02-06
13883,BL82119,,13572,"Blackadder: The Complete All Four Series. The Blackadder1-3, Goes Forth, Chrismas carol, Back and forth (6 disc)",,2013-12-16
13884,BL80606,,13573,"The Blue Planet A Natural History Of The Ocean, Disc 1, Disc 2, Disc 3","HOLMES, MARTHA",2013-12-18
13885,BL82252,,13573,"The Blue Planet A Natural History Of The Ocean, Disc 1, Disc 2, Disc 3","HOLMES, MARTHA",2013-12-17
13886,BL80603,,13574,"Trials Of Life: The Complete Series, Disc 1, Disc 2, Disc 3","SMART, KEENAN",2013-12-18
13887,BL81984,,13575,"The Life Of Birds: The Complete Series, Disc 1, Disc 2, Disc 3","BARTON, MILES",2013-06-20
13888,BL82034,,13576,"Eye of the Needle",,2012-08-18
13889,BL80032,,13577,"The Stepford Wives",,2013-02-06
13890,BL80075,,13578,"Reach For The Sky",,2011-03-14
13891,BL80555,,13579,"Secret Agent","Hitchcock, Alfred",2013-02-05
13893,BL80165,5037115032232,13581,"Doctor in trouble","Box, Betty E.",2013-12-18
13894,BL80478,5037115032232,13581,"Doctor in trouble","Box, Betty E.",2013-02-06
13895,BL80166,,13582,"Death becomes her",,2013-02-06
13896,BL80168,,13583,DeathWatch,,2011-09-15
13897,BL80169,,13584,"Doctor Who:The Visitation","Turner, John Nathan",2013-02-06
13899,BL80173,,13586,"The Count of Monte Cristo","Reynolds, Kevin",2013-02-06
13900,BL80174,,13587,Possession,"Weinstein, Paula",2013-02-06
13902,BL80177,,13589,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","BBC Worldwide Ltd",2013-02-06
13903,BL80178,,13590,"The Green Man and School for Scoundrels","Lauder, Frank & Gillay,Sidney",2013-02-06
13904,BL80179,,13591,Concoy,"Sherman, Robert M",2013-02-06
13905,BL80180,,13592,"A Handful of dust","Granger, Derek",2013-01-19
13906,BL80182,,13593,"Death on the Line","Brabourne, John & Goodwin, Richard",2011-03-14
13907,BL80184,,13594,Cromwell,"Allen, Irving",2013-02-06
13908,BL80186,,13595,"Dark Crystal","Henson, Jim",2013-02-06
13911,BL80192,,13598,"Doctor in Distress","Box, Betty E.",2012-09-14
13912,BL80480,,13598,"Doctor in Distress","Box, Betty E.",2013-12-18
13913,BL81013,,13598,"Doctor in Distress","Box, Betty E.",2014-01-04
13914,BL80193,,13599,"Doctor in Clover","Box, Betty E.",2013-02-06
13915,BL81012,,13599,"Doctor in Clover","Box, Betty E.",2013-12-18
13916,BL80194,,13600,Moonraker,"Broccoli, Albert G.",2013-02-06
13917,BL80199,,13601,"Sydney 2000: Official Highlights","International Olympic Committe",2013-02-06
13918,BL80204,,13602,"A Private Function","Shivas, Mark",2013-02-06
13919,BL80206,,13603,"Truly Madly Deeply","Cooper, Robert",2013-02-06
13920,BL80208,,13604,"Peepng Tom","Powell, Michael",2011-03-14
13921,BL80209,,13605,"The Best of Morecambe & Wise","Ammonds, John",2013-02-06
13922,BL80210,,13606,"The Actors","Woolley, Stephen",2011-03-14
13923,BL80214,,13607,"A Man for all Seasons","Zinneman, Fred",2013-02-06
13924,BL82735,,13607,"A Man for all Seasons","Zinneman, Fred",2012-04-22
13925,BL80216,,13608,"Small Faces","Mackinnon, Billy",2013-02-06
13926,BL80218,5017188882729,13609,"The Talented Mr.Ripley","Horberg, William",2012-11-30
13928,BL80220,,13610,"Women Talking Dirty","Brabourne, John",2011-03-14
13929,BL80222,,13611,"In Which We Serve","Coward, Noel",2013-02-06
13930,BL80223,,13612,"Carry on Jack","Rogers, Peter",2013-12-18
13931,BL80227,,13613,"Bright Young Things","Carter, Gina",2013-12-18
13932,BL80231,,13614,"The Man in the Iron Mask(D1+D2+D3)","Wallace, Randall",2013-12-18
13933,BL80234,,13615,"Under Milk Wood","Thomas, Dylan",2013-02-06
13934,BL80236,,13616,"Mike Bassett: England Manager","Peplow, Neil",2013-02-06
13936,BL80238,,13618,"Dr. StrangeLove Or: How I learned to stop worrying and love the bomb","Kubrick, Stanley",2014-01-21
13937,BL80241,,13619,"Doctor at Large","BOS, BETTY E.",2013-02-06
13938,BL80523,,13619,"Doctor at Large","BOS, BETTY E.",2013-02-07
13939,BL81015,,13619,"Doctor at Large","BOS, BETTY E.",2013-12-18
13940,BL82145,,13619,"Doctor at Large","BOS, BETTY E.",2014-01-07
13941,BL80242,,13620,She,"CARRERAS, MICHAEL",2013-02-06
13942,BL80244,,13621,"Lawn Dogs","KENWORTHY, DUNCAN",2013-02-06
13943,BL80245,,13622,"Fawlty Towers: Series 2","ARGENT, DOUGLAS",2012-06-16
13945,BL80249,,13624,"Tiny Planets: Bing & Bong's Chills and Thrills","Montessori centre International",2013-02-06
13946,BL80251,,13625,"Priest of Love","MILES, CHRISTOPHER",2013-12-18
13947,BL80255,,13626,"Absolutley Fabulous","SPIERS, BOB",2013-02-06
13948,BL80256,,13627,"Tweenies: Let's all make music","Tell-Tale Productions",2013-12-18
13949,BL80264,,13628,"Carry on Teachers","ROGERS, PETER",2012-09-14
13950,BL80265,,13629,"Carry on Crursing","ROGERS, PETER",2013-12-18
13951,BL80266,,13630,"Thomas and Friends: Engines to the rescue","FEHRLE, PHIL",2013-02-06
13952,BL80270,,13631,"Anita & Me","HUSEYIN, METIN",2013-12-18
13953,BL80271,,13632,"Story of Rugby League","MURRAY, MIKE",2013-12-18
13955,BL80276,,13634,"Doctor in the House","BOX, BETTY E.",2013-02-06
13956,BL81482,,13634,"Doctor in the House","BOX, BETTY E.",2014-01-10
13958,BL80278,,13636,"Artificial Eye: Mrs Dalloway","GORRIS, MARLEEN",2013-12-18
13959,BL80279,,13637,"Double Jeopardy","GOLDBERG, LEONARD",2013-02-06
13960,BL80280,,13638,"Twin Town","ALLEN, KEVIN",2013-02-06
13961,BL80281,,13639,"The Snowman","COATES, JOHN",2013-02-06
13963,BL80284,,13641,"The Wrong arm of the Law","BARING, AUBREY",2013-02-06
13964,BL82056,,13641,"The Wrong arm of the Law","BARING, AUBREY",2014-01-28
13965,BL80288,,13642,"Tweenies: Music is Pop-a-rooney","Tell-Tale Productions",2012-09-01
13966,BL80289,,13643,"Tom Cruise: Vanilla Sky","CRUISE, TOM",2013-02-06
13967,BL80292,,13644,"North By Northwest","HITCHCOCK, ALFRED",2013-12-18
13968,BL80293,,13645,"This Happy Breed","COWARD, NOEL",2013-02-06
13969,BL80294,,13646,Croupier,"HODGES, MIKE",2013-02-06
13970,BL80295,,13647,"Man about the House","JONES, PETER FRAZER",2013-09-25
13972,BL80299,7321900380836,13649,"The Colditz Story","FOXWELL, Ivan",2013-02-06
13973,BL80300,,13650,"Carry On Camping","ROGERS, PETER",2013-02-05
13974,BL80305,,13651,"The Big Friendly Giant","COSGROVE, BRAIN",2013-12-18
13975,BL80309,,13652,"Robin and Marian","LESTER, RICHARD",2013-12-18
13976,BL80311,,13653,"Biggles: Adventures in Time","HOUGH, JOHN Oliver, Pom",2013-02-06
13977,BL80312,,13654,BlackBall,"SMITH, MELL",2013-02-06
13978,BL80313,,13655,Best,"MCGUCKIAN, MARY",2013-12-18
13979,BL80316,,13656,"Being There","BRAUNSBERG, ANDREW",2013-02-06
13980,BL80317,,13657,"Balamory: Mysteries with PC Plum",CBBC,2013-02-06
13981,BL80318,,13658,Byron,"BAUMGARTEN, RUTH",2013-12-18
13982,BL80319,,13659,"The British Empire in Colour","BINNS, STEWART",2012-09-01
13983,BL80320,,13660,"The Amazing Mr. Blunden","JEFFRIES, LIONEL",2013-12-18
13985,BL80322,,13662,"The Graduate","NICHOLS, MIKE",2014-01-21
13986,BL80323,,13663,"The Abominable Dr. Phibes","HEYWARD, LOUIS M",2013-02-06
13987,BL80326,,13664,"The Beach","MACDONALD, ANDREW",2013-12-18
13989,BL80329,,13665,"Blithe Spirit","COWARD, NOEL",2013-02-06
13990,BL80330,,13666,"The Brothers","SCOTT, DARIN",2013-02-06
13991,BL80331,,13667,"Billy Lair","JANNI, JOSEPH",2013-02-06
13992,BL80332,,13668,Brazil,"GILLIAM, TERRY",2013-12-18
13993,BL82761,,13668,Brazil,"GILLIAM, TERRY",2013-12-16
13994,BL80334,,13669,Anastasla,"ADLER, BUDDY",2013-02-06
13996,BL80342,5021123107228,13671,"Never the twain","Jones-Frazer, Peter",2013-02-06
13997,BL80343,,13672,"George & Wildred","Starring: Yootha Joyce, Brian",2013-02-06
13998,BL80345,,13673,"Buon O Malone","PARKER, ALAN",2013-02-06
13999,BL80346,,13674,"The Avengers","WEINTRAUB, JERRY",2013-02-06
14001,BL80357,,13677,"Relative Values","MILBURN, CHRISTOPHER",2013-02-06
14002,BL80353,,13678,"Brighton Rock","BOULTING, ROY",2013-02-06
14003,BL80356,,13679,"Jamaica Inn","HITCHOCK, ALFRED",2013-12-18
14005,BL80360,,13681,"Les Miserables","AUGUST, BIBLE",2013-12-18
14006,BL80362,,13682,"Father, Dear, Father","STEWART, WILLIAM G.",2013-02-05
14007,BL80363,,13683,"George & Mildred: The Movie","SKEGGS, ROY",2013-02-06
14008,BL80456,,13683,"George & Mildred: The Movie","SKEGGS, ROY",2013-02-06
14009,BL80365,,13684,"Absolutely Fabulous: Gay","SARGENT, JO",2013-12-18
14010,BL80367,,13685,"The Gathering Storm","DOELGER, FRANK",2013-12-18
14011,BL80369,,13686,"How Green was my Valley","ZANUCK, DARRYL F.",2013-02-06
14012,BL80370,,13687,"John Miles in Concert","AU, MICHAEL",2013-02-06
14013,BL80371,,13688,"Dog Soldiers:A Bitch of a Werewolf Movie","MARSHALL, NEIL",2013-02-06
14016,BL80376,,13691,Monalisa,"JORDAN, NEIL",2013-12-18
14017,BL80379,,13692,"The Long Good Friday","HANSON, BARRY",2013-02-06
14018,BL80381,,13693,Octopussy,"BROCCOLI, ALBERT R.",2013-12-18
14019,BL80383,,13694,"28 Days Later","MACDONALD, ANDREW",2013-02-05
14020,BL80384,,13695,Invincible,"LEMLEY, JIM",2013-12-18
14021,BL82215,,13696,"The Ipcress File(2 disc)","SALTZMAN, HARRY",2012-09-14
14024,BL80391,,13699,"Long Time Dead","REES, GAY JAMES",2013-12-18
14025,BL80392,,13700,"Meam Machine","VAUGHN, MATHEW",2013-02-06
14026,BL80395,,13701,"Monty Oython's and now for something completerly different","CASEY, PATRICIA",2013-12-18
14027,BL80399,,13702,Bottom,"BYE ED",2013-02-06
14028,BL80400,,13703,Liam,"FREARS, Stephen",2013-02-05
14029,BL82712,,13703,Liam,"FREARS, Stephen",2013-12-27
14030,BL80402,,13704,"The Battle of the river plate","POWELL, MICHAEL",2013-12-18
14033,BL80406,,13707,"To end all wars","CUNNINGHAM, DAVID L.",2013-02-06
14034,BL80407,,13708,"Sweet Sixteen","LOACH, KEN",2013-12-18
14035,BL80409,,13709,"The Merchant of Venice","NUNN, TREVOR",2013-12-18
14036,BL80412,,13710,"Mr. Men and Little Miss: A very happy day for Mr. Happy and 12 other stories","HARGREAVES, ROAGER",2013-02-06
14038,BL80416,,13712,"Evil under the sun","BRABOURNE, JOHN",2013-02-06
14040,BL80419,,13714,"That Riviera Touch","STEWART, HUGH",2013-02-06
14041,BL80420,,13715,"Mr Men and llittle Miss","HARGREAVES,ROGER",2013-12-18
14042,BL80421,,13716,Arthur,"GRENHUT,ROBERT",2012-08-12
14043,BL80422,,13717,Kidnaspped,"CAINE,MICHAEL",2013-02-06
14044,BL80423,,13718,"Kevin and Perry go large","BENNET,PETER",2013-02-06
14045,BL80424,,13719,"Live and Let Die","SALTZMAN,HARRY",2013-02-06
14046,BL80425,,13720,"The Belstone Fox","SHUTHER,SALLY",2013-12-18
14047,BL80427,,13721,"Ali G Indahouse","MAZER DAN",2013-12-18
14049,BL80429,,13723,"The Sound Barrier:Hobson Choice","LEAN,DAVID",2013-02-06
14050,BL80431,,13724,"Bob the Builder:A Christmas to Remember","COCKLE,JACCKIE",2013-02-06
14051,BL80432,,13725,"Love and Death:On Long Island","HURT,JOHN",2013-02-06
14052,BL80433,,13726,"Lara Croft:Tomb Raider","GOBDON,LAWARANCE",2013-02-06
14053,BL80435,,13727,"Be Careful What You Wish For: Brithaday girl","BUTTERWORTH,STEVE",2013-12-18
14054,BL80437,,13728,"The Face Of Fumanchu","TOWERS,HARRY",2013-02-06
14056,BL80439,,13730,"The Peter Cook & Dudley Moore","CLEMENT,DICK",2013-02-06
14057,BL80441,,13731,"Mr. Men and Little Miss","HARGREAVES, ROGER",2013-12-18
14058,BL80442,,13732,"The List Great Wilderness","BERRIE,GILLIAN",2013-12-18
14059,BL80443,,13733,"Lost in La Mancha","FULTON, KEITH",2013-12-18
14060,BL80434,,13734,"Before You Go","RITA, EDICATING",2013-02-06
14061,BL80485,,13735,"Trouble in store up in the world (2 Discs)","STEWART, HUGH",2013-02-06
14062,BL82161,,13735,"Trouble in store up in the world (2 Discs)","STEWART, HUGH",2014-01-12
14063,BL80513,,13736,"The Hitchhiker's Guide to the Galaxy","BELL J W ALLAN",2013-02-23
14064,BL80507,,13737,"Doctor who: The talons of Weng-chiang (2 Discs)","HINCHCLIFFE, PHILIP",2013-02-07
14065,BL80491,,13738,"Absolutely Feables(2 Dics)","Plowman, Jon",2013-02-06
14067,BL80494,,13740,"Doctor Who:The Two Doctors(2 Disc)","Nathan, John",2013-02-07
14068,BL80495,,13741,"The Darling Buds of May(2 Disc)","STEWARTS, ROBERTS",2013-02-07
14069,BL80009,,13742,"Monty Python and the Holy Grail","FROSTATER, MARK",2013-04-24
14070,BL80445,,13743,"Vincent Price Witchfinder General","HEYWARD M LOUIS",2013-12-18
14071,BL80508,,13744,"Clarissa (2 Discs)","LOADER, KEVIN",2013-12-18
14072,BL80509,,13745,"Escape to River Cottage(Disc1, Disc 2)","BARING, ZAM",2013-02-06
14073,BL80446,,13746,"Growing up live","HAMILTON, HAMISH",2013-02-06
14075,BL80453,,13748,"Honeymoon in vegas","LOBEL, MIKE",2013-02-06
14077,BL80458,,13750,"Bless this house","ROGER, PETER",2012-08-24
14078,BL80563,,13750,"Bless this house","ROGER, PETER",2013-02-07
14079,BL80460,,13751,"Emma's War","JESSOP, ROBIN",2013-12-18
14080,BL80462,,13752,"Charlotte gay","SURAH, CURTS",2013-12-18
14081,BL80464,,13753,"Absolutely Fabuolus","PlOWMAN, JON",2013-02-06
14082,BL80471,,13754,"Wallace & Gromit",AARDMAN,2013-12-18
14083,BL80472,,13755,"Fimbles: Tinkles, Toots and fimbling Hoots",Novel,2013-02-06
14084,BL80473,,13756,"Fimbles Glitter, Stars & Sparkly Things",NOVEL,2013-12-18
14085,BL80474,,13757,"The Rabel, punch and Judy Man","SCOTT, GORDON L T",2013-02-06
14086,BL80504,,13758,"Rosemary Thyme( 2 disc)","EASTMAN, BRAIN",2013-02-06
14087,BL80501,,13759,"Alig in DA USA (Disc 1 Disc 2)","MAZER DAN",2013-02-07
14088,BL80524,,13760,"Randall and Hopkirk (Deceased): My Late lamented friend and partner (Episodes 1-2)","FRANKEL, CYRIL",2013-02-07
14089,BL80525,,13761,"Randall and Hopkirk (Deceased): All work and Pay (Episodes 3-6)","BERMAN, MONTY",2013-02-07
14091,BL80527,,13763,"Randall and Hopkirk (Deceased): The ghost who saved (Episodes 11-14)","BERMAN, MONTY",2013-02-07
14092,BL80528,,13764,"Randall and Hopkirk (Deceased): The man from nowhere (Episodes 15-18)","BERMAN, MONTY",2013-02-07
14093,BL80529,,13765,"Randall and Hopkirk (Deceased): A Sentimental Journey (Episodes 19 - 23)  ","BERMAN, MONTY",2013-02-07
14095,BL80533,,13767,"Some mothers do 'ave' em: The complete third series","LOTTERBY, SIDNEY",2013-02-07
14097,BL80536,,13769,"Dead of Night","BALCON, MICHAEL",2013-02-07
14098,BL80537,,13770,"Went the day well","BALCON, MICHAEL",2013-02-07
14099,BL80538,,13771,"Nicholas Nickleby","CAVALCANTI, ALBERTO",2013-02-07
14100,BL80539,,13772,"Forever ealing bonus disc","BRITISH FILM PRODUCTIONS",2013-02-07
14101,BL80540,,13773,"The Blood & thunder boys in Hue & Cry","BALCON, MICHAEL",2013-02-07
14102,,,13774,"The titfield thunderbolt","TRUMAN, MICHAEL",2011-03-14
14103,BL80541,,13774,"The titfield thunderbolt","TRUMAN, MICHAEL",2013-02-05
14104,BL80542,,13775,"Passport to Pimlico  ","EMMETT, E V H",2013-02-07
14105,BL82721,,13775,"Passport to Pimlico  ","EMMETT, E V H",2014-02-02
14107,BL80544,,13777,"Catherine cookson: The Fifteen streets","MARSHALL, RAY",2013-02-07
14108,BL80545,,13778,"Catherine cookson: Tilly Trotter","MARSHALL, RAY",2013-02-05
14109,BL80546,,13779,"Catherine cookson: The Gambling Man","MARSHALL, RAY",2013-12-18
14110,BL80547,,13780,"The ladykillers","BALCON, MICHAEL",2013-02-07
14111,BL80548,,13781,"Kind Hearts and Coronets","BALCON, MICHAEL",2013-02-07
14112,BL82753,,13781,"Kind Hearts and Coronets","BALCON, MICHAEL",2013-12-16
14113,BL80549,,13782,"The lavender hill mob","BALCON, MICHAEL",2013-02-07
14114,BL80550,,13783,"The man in a white suit","BALCON, MICHAEL",2013-02-07
14116,BL82531,,13784,"The adventures of black beauty: Series one","COLE, SIDNEY",2014-01-22
14117,BL80553,,13785,"Alfred Hitchock's the 39 steps","HITCHCOCK, ALFRED",2013-02-05
14118,BL80554,,13786,"Alfred Hitchock's The Lady Vanishes","HITCHCOCK, ALFRED",2013-02-07
14119,BL80556,,13787,"Barbara Taylor Bradford: Act of Will","GLYNN, VICTOR",2013-02-05
14120,BL80557,,13788,"Barbara Taylor Bradford: Voice of the Heart","GLYNN, VICTOR",2013-02-07
14121,BL80558,,13789,"Barbara Taylor Bradford:Hold the Dream","SHERMAN, HARRY R",2013-02-07
14122,BL80560,,13790,"Barbara Taylor Bradford: Her own rules","BRICE, SANDRA TAYLOR",2013-02-07
14123,BL80561,5018011200147,13791,"Barbara Taylor Bradford: To be the best","YOUNG, AIDA",2013-02-07
14124,BL80562,,13792,"Barbara Taylor Bradford: A Woman of Substance (Disc 1, Disc 2)","BAKER, DIANE",2013-01-13
14125,BL80604,,13793,"Roy Clarke's Keeping up appearances (Discs 1, 2, 3)","SNOAD, HAROLD",2013-12-18
14126,BL80605,,13794,"As time goes by series 8","LOTTERBY, SYDNEY",2013-12-18
14127,BL81980,,13794,"As time goes by series 8","LOTTERBY, SYDNEY",2014-01-10
14128,BL80607,,13795,"Cutting it (Discs A, B, C) Episode 1-6","SANTER, DIEDRICK",2013-02-07
14129,BL80609,,13796,"Survivors (Discs 1, 2, 3, 4)","DUDLEY, TERENCE",2013-02-07
